column_name,data_type,no_of_rows,missing_percent
total_rech_data_9,float64,29953,0.0
max_rech_data_6,float64,29953,0.0
max_rech_data_7,float64,29953,0.0
max_rech_data_8,float64,29953,0.0
max_rech_data_9,float64,29953,0.0
count_rech_2g_6,float64,29953,0.0
count_rech_2g_7,float64,29953,0.0
count_rech_2g_8,float64,29953,0.0
count_rech_2g_9,float64,29953,0.0
count_rech_3g_6,float64,29953,0.0
count_rech_3g_7,float64,29953,0.0
count_rech_3g_8,float64,29953,0.0
count_rech_3g_9,float64,29953,0.0
av_rech_amt_data_6,float64,29953,0.0
av_rech_amt_data_7,float64,29953,0.0
av_rech_amt_data_8,float64,29953,0.0
av_rech_amt_data_9,float64,29953,0.0
vol_2g_mb_6,float64,29953,0.0
vol_2g_mb_7,float64,29953,0.0
vol_2g_mb_8,float64,29953,0.0
vol_2g_mb_9,float64,29953,0.0
vol_3g_mb_6,float64,29953,0.0
vol_3g_mb_7,float64,29953,0.0
vol_3g_mb_8,float64,29953,0.0
vol_3g_mb_9,float64,29953,0.0
arpu_3g_6,float64,29953,0.0
arpu_3g_7,float64,29953,0.0
arpu_3g_8,float64,29953,0.0
arpu_3g_9,float64,29953,0.0
arpu_2g_6,float64,29953,0.0
arpu_2g_7,float64,29953,0.0
arpu_2g_8,float64,29953,0.0
arpu_2g_9,float64,29953,0.0
night_pck_user_6,float64,29953,0.0
night_pck_user_7,float64,29953,0.0
night_pck_user_8,float64,29953,0.0
night_pck_user_9,float64,29953,0.0
monthly_2g_6,int64,29953,0.0
monthly_2g_7,int64,29953,0.0
monthly_2g_8,int64,29953,0.0
monthly_2g_9,int64,29953,0.0
sachet_2g_6,int64,29953,0.0
sachet_2g_7,int64,29953,0.0
sachet_2g_8,int64,29953,0.0
sachet_2g_9,int64,29953,0.0
monthly_3g_6,int64,29953,0.0
monthly_3g_7,int64,29953,0.0
monthly_3g_8,int64,29953,0.0
monthly_3g_9,int64,29953,0.0
sachet_3g_6,int64,29953,0.0
sachet_3g_7,int64,29953,0.0
sachet_3g_8,int64,29953,0.0
sachet_3g_9,int64,29953,0.0
fb_user_6,float64,29953,0.0
fb_user_7,float64,29953,0.0
fb_user_8,float64,29953,0.0
fb_user_9,float64,29953,0.0
aon,int64,29953,0.0
aug_vbc_3g,float64,29953,0.0
jul_vbc_3g,float64,29953,0.0
jun_vbc_3g,float64,29953,0.0
sep_vbc_3g,float64,29953,0.0
is_churned,int64,29953,0.0
total_rech_amt_data_6,float64,29953,0.0
total_rech_amt_data_7,float64,29953,0.0
avg_rech_amt_gdphase_6_7,float64,29953,0.0
